_id,index,stageIds,gameId,createdAt,data.targets,data.payoffs,data.repNum,data.chat,data.submitted,data.player_DfhwRi77r89iZFEFD_response,data.player_DfhwRi77r89iZFEFD_time,data.player_WvggzrzGgjk4HDh9M_response,data.player_WvggzrzGgjk4HDh9M_time,data.player_Hvv3gEyCGX2zBmXK2_response,data.player_Hvv3gEyCGX2zBmXK2_time,data.player_aD8amtjzJx6jEyBMp_response,data.player_aD8amtjzJx6jEyBMp_time,data.player_m5hyD6u7arfKCWZ2h_response,data.player_m5hyD6u7arfKCWZ2h_time,data.player_rMFK4T5wzumu8iwh7_response,data.player_rMFK4T5wzumu8iwh7_time,data.player_Ew2Y7JzcqPu7Zb9P9_response,data.player_Ew2Y7JzcqPu7Zb9P9_time,data.player_YFN2b7aXAu9NEFvLC_response,data.player_YFN2b7aXAu9NEFvLC_time
qYNRWAkHFEghZ7hBw,0,"MjEe7EztGQmYsBX3X,mpSwePLMe3oTrHaau",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":7},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",0,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398761593},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398762650}",true,A,9094,B,10149,,,,,,,,,,,,
xo2zBZ3F7JgoD9Ewe,1,"u4erQgufwz4Yno9qo,y8Wo5e4i9qYJDQs9D",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":7},""BA"":{""p1"":7,""p2"":0},""BB"":{""p1"":4,""p2"":4}}",1,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398771448},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398778763}",true,B,2567,B,9879,,,,,,,,,,,,
Yx9MCZATGBmKP2eE4,2,"FTacnjNHyeybWEPJ9,9czCEAfdMoTuNf3Pr",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",2,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398786130},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398787677}",true,A,1254,B,2797,,,,,,,,,,,,
MSug2PQKWMCKLQHZP,3,"X9375u6Euf24gyW8z,E3DSx83xHf4xaTc6D",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":7},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":5,""p2"":5}}",3,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398795558},{""text"":""blue"",""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""message"",""time"":1636398797576},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398798274}",true,A,1672,B,4385,,,,,,,,,,,,
zqpLmTk9NAhoQ7wQw,4,"oF3krxHA5kgjaHmdf,KhjQEBc5qQsapsJZD",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",4,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398807071},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398806862}",true,B,1972,A,2167,,,,,,,,,,,,
QK4TYuCWN5CJkrfYc,5,"A2Y6tZjkK29n3Kxpy,fCCYMmG7mWvhFvtcH",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":6},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",5,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398815520},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398816310}",true,B,1640,B,2427,,,,,,,,,,,,
hGXNHvd6aP6xruo4z,6,"hy8Aoe7qkC9XP8miE,rRKR5ysSJeavS9BJq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":2,""p2"":2}}",6,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398823745},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398824925}",true,A,855,B,2032,,,,,,,,,,,,
vjdbQ6ED3YSYPsh2f,7,"JPj63mrY8Bwa9y3vH,HNy4vhgyhFxBcd7Mf",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":5},""BA"":{""p1"":5,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",7,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398833345},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398834566}",true,A,2450,B,3668,,,,,,,,,,,,
G9YH9Zdz9noLWi5pj,8,"D3Y7tkKRkCESqyvzE,zinCGcxXtrQiQLxn8",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":4},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",8,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398841793},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398842776}",true,B,905,B,1885,,,,,,,,,,,,
7Xqe9P7EwhgJPMTQ5,9,"jNvEzogCMvLCrvZH6,HSsT2HjWN2KXa6sCX",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":5},""BA"":{""p1"":5,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",9,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398850418},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398851716}",true,A,2824,A,1520,,,,,,,,,,,,
zSyjHsBsdYDLhytAu,10,"pF3M7eociGQ9bZ33K,PFP9oAJK9HZzpfQTP",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":2,""p2"":2},""AB"":{""p1"":0,""p2"":3},""BA"":{""p1"":3,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",10,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398861059},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398861957}",true,A,2137,A,3033,,,,,,,,,,,,
5rkaKLo2JRviSPrZH,11,"DY84AXLC3Krk9NXre,AeCfvuYkZxkpnjyMa",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",11,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398869706},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398869667}",true,B,1767,A,1800,,,,,,,,,,,,
cKRgysMc8SXmSqukA,12,"pjXPKQKhQ5Tt6BNTu,dKqPGxfcApbTCz926",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",12,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398878201},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398879142}",true,A,1244,B,2182,,,,,,,,,,,,
Tz8zXvvwbniHgA5oa,13,"fc5EKD6Gy3iDLrbyZ,FpzPi9Qk79xfMLMvN",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",13,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398886358},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398887412}",true,B,1450,B,2502,,,,,,,,,,,,
j6odAmLFzu6QpiDFc,14,"29TGGG3psGTF4PBwK,HE2N3FxGK5HmK9Kk4",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",14,"{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398894576},{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398899360}",true,B,667,B,5447,,,,,,,,,,,,
BNhf7ZuQJMp678tdM,15,"N4bC2GDi3exgKNntv,TpHBGTHCQ6cS4ao6F",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",15,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398907745},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398907117}",true,B,1196,A,1819,,,,,,,,,,,,
3HzpfLiXv4HCczpXZ,16,"JC7EBaCBeoxRRyh3b,aiKX2NpaidgvumjMH",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":4,""p2"":4},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",16,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398915361},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398916010}",true,B,2090,A,1436,,,,,,,,,,,,
LL9bcZg2Tf4HmeNop,17,"yb5mMyNHSzyCkCwvL,CgZpu3EXRD5Myd9Jq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",17,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398924620},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398924861}",true,A,1921,B,1674,,,,,,,,,,,,
a7TgCj6zRPhaM436S,18,"GfpemfWo4QoZfF3GJ,a8DGe2X6yD9bv9JXD",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":3,""p2"":3},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",18,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398933442},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398932992}",true,A,1063,A,1508,,,,,,,,,,,,
GrpACDnm3vemubYHL,19,"tFFNuckmY86zbSusE,9FcyxJmR6JGtkpWfq",2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":7},""BA"":{""p1"":7,""p2"":0},""BB"":{""p1"":4,""p2"":4}}",19,"{""text"":null,""playerId"":""WvggzrzGgjk4HDh9M"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398941626},{""text"":null,""playerId"":""DfhwRi77r89iZFEFD"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398941267}",true,B,1341,A,1694,,,,,,,,,,,,
zeYeMFGeBKzmTixWD,0,"TXNK3izmwbxp97yFY,5dFRavFjbwZgfokpe",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":6},""BA"":{""p1"":6,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",0,"{""text"":null,""playerId"":""aD8amtjzJx6jEyBMp"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398797284},{""text"":null,""playerId"":""Hvv3gEyCGX2zBmXK2"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398803789}",true,,,,,A,16068,B,9557,,,,,,,,
g3zCdpuspGBjLjkfG,1,"kY5fWhiQZLbxEjcRw,Taq556jKYHDYXZ9ta",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",1,"{""text"":null,""playerId"":""Hvv3gEyCGX2zBmXK2"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398812162},{""text"":null,""playerId"":""aD8amtjzJx6jEyBMp"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398816628}",true,,,,,B,2234,A,6724,,,,,,,,
ffgSfrus3mfQXcMGY,2,"TankasDpcEJz6bfHj,zzLd6wrrAf5oRzrP5",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":3,""p2"":3}}",2,"{""text"":null,""playerId"":""Hvv3gEyCGX2zBmXK2"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398825387},{""text"":null,""playerId"":""aD8amtjzJx6jEyBMp"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398827364}",true,,,,,B,2443,A,4418,,,,,,,,
xLTv2KhgoGtHPm7Qh,3,"8usR3eqvtnrnNpQtY,GDKidWgMzzZe9WaR2",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":7},""BA"":{""p1"":7,""p2"":0},""BB"":{""p1"":2,""p2"":2}}",3,"{""text"":null,""playerId"":""aD8amtjzJx6jEyBMp"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398837443},{""text"":null,""playerId"":""Hvv3gEyCGX2zBmXK2"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398838139}",true,,,,,B,4247,A,3540,,,,,,,,
LAhmHxA9msSnv2Ero,4,"zvNHeJ2g9yowDyTS4,tbmhfWptpTzDGsRAZ",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":7},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":5,""p2"":5}}",4,"{""text"":null,""playerId"":""Hvv3gEyCGX2zBmXK2"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398849709},{""text"":null,""playerId"":""aD8amtjzJx6jEyBMp"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398853864}",true,,,,,B,4811,A,8963,,,,,,,,
oR5mMrXQTQL2BrLt5,5,"WyFcQtuWBTS25zrBJ,EmtBE2cc6Lwtk4Kt6",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":5,""p2"":5},""AB"":{""p1"":0,""p2"":8},""BA"":{""p1"":8,""p2"":0},""BB"":{""p1"":1,""p2"":1}}",5,"{""text"":null,""playerId"":""aD8amtjzJx6jEyBMp"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398862333},{""text"":null,""playerId"":""Hvv3gEyCGX2zBmXK2"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398863192}",true,,,,,B,3279,B,2415,,,,,,,,
GQCHz6TBzEyK3ySnX,6,"MMRsJqKch9QTAuhin,ozRRvevj6G8uK87WQ",zLuA4iDWY3B356FLZ,2021-11-08T19:13:07Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":6},""AB"":{""p1"":0,""p2"":9},""BA"":{""p1"":9,""p2"":0},""BB"":{""p1"":5,""p2"":5}}",6,"{""text"":null,""playerId"":""aD8amtjzJx6jEyBMp"",""role"":""p2"",""type"":""selectionAlert"",""time"":1636398872479},{""text"":null,""playerId"":""Hvv3gEyCGX2zBmXK2"",""role"":""p1"",""type"":""selectionAlert"",""time"":1636398873442}",true,,,,,B,3537,B,2568,,,,,,,,
